DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX
2353.25,90.92459541,19.8,2.561,129,6.93,6.14,174.7116564
2353.375,92.01967677,19.4,2.553,132,6.54,5.87,177.5326843
2353.5,93.42110932,19.3,2.543,134,6.15,5.6,180.2694933
2353.625,95.04627336,19.4,2.534,135,5.79,5.35,182.5475445
2353.75,96.09009134,19.8,2.521,135,5.5,5.13,184.1420228
2353.875,96.9371477,20.3,2.501,135,5.26,4.97,185.1855611
2354,97.57308038,20.9,2.477,134,5.08,4.85,185.6568761
2354.125,97.74506201,21.6,2.455,133,4.98,4.8,185.5163413
2354.25,96.8954065,21.7,2.435,134,4.94,4.81,184.741571
2354.375,96.09003983,21.1,2.415,136,4.96,4.85,183.4443972
2354.5,95.63112461,20.2,2.4,136,5.01,4.92,181.6435533
2354.625,94.78009364,19.4,2.406,136,5.08,5,179.5078329
2354.75,93.54471798,19.2,2.434,134,5.17,5.11,177.2830762
2354.875,92.52008937,19.3,2.477,131,5.31,5.28,175.2127911
2355,91.69020092,19.4,2.519,127,5.5,5.48,173.2364952
2355.125,90.94762946,19.2,2.551,124,5.68,5.68,171.6230862
2355.25,90.44937106,18.7,2.57,123,5.81,5.82,170.3513484
2355.375,90.21486601,18.4,2.575,123,5.89,5.93,169.3033514
2355.5,90.00008609,18.6,2.568,124,5.95,6.01,168.427699
2355.625,89.15494173,19.2,2.556,125,5.97,6.04,167.864953
2355.75,89.25825144,19.8,2.544,123,5.96,6.04,167.4349451
2355.875,89.39603386,19.9,2.536,122,5.95,6.03,167.0315833
2356,89.50587303,19.4,2.534,122,5.94,6.01,166.7026018
2356.125,89.69837316,18.7,2.534,123,5.87,5.93,166.4191375
2356.25,90.08957375,18.1,2.534,125,5.74,5.8,166.1597393
2356.375,90.26739528,18,2.535,126,5.59,5.65,166.2428266
2356.5,90.25023812,18.1,2.54,127,5.51,5.58,166.8784388
2356.625,90.37772887,18.3,2.549,127,5.57,5.64,167.9292683
2356.75,90.71227756,18.3,2.551,127,5.76,5.81,169.3988035
2356.875,91.25056778,18.2,2.539,128,6,6.01,171.2524191
2357,91.96620197,18,2.51,130,6.18,6.15,173.3840196
2357.125,92.97948937,17.9,2.477,130,6.22,6.16,175.7997841
2357.25,93.95125315,18.1,2.452,130,6.1,6.04,178.3325459
2357.375,95.11888209,18.5,2.438,130,5.87,5.8,181.0050031
2357.5,96.37258898,18.9,2.432,131,5.65,5.57,183.626965
2357.625,97.39846201,19.3,2.429,131,5.54,5.43,185.9006965
2357.75,97.73778287,20,2.429,131,5.55,5.42,187.4714806
2357.875,97.71883287,21.1,2.435,131,5.62,5.47,188.0460124
2358,97.38602448,22.1,2.448,133,5.71,5.53,187.6317325
2358.125,96.71901293,22.3,2.464,135,5.8,5.57,186.4501799
2358.25,95.71166949,22,2.48,137,5.89,5.61,184.7432545
2358.375,94.40682959,21.6,2.492,137,5.98,5.69,182.7254837
2358.5,93.40281056,21.5,2.508,134,6.11,5.83,180.9491549
2358.625,92.96001516,21.6,2.532,131,6.29,6,179.7273654
2358.75,92.77255486,21.8,2.563,128,6.45,6.12,179.0007384
2358.875,92.74865341,22,2.581,126,6.5,6.15,178.7927627
2359,92.83486772,22.1,2.573,125,6.44,6.08,179.0996766
2359.125,92.87030079,21.8,2.537,124,6.29,5.94,179.8090762
2359.25,93.05322073,21.4,2.501,125,6.18,5.82,180.6049497
2359.375,93.68432087,20.9,2.487,126,6.12,5.74,181.4610122
2359.5,94.65083333,20.6,2.5,125,6.1,5.71,182.3108583
2359.625,95.77910243,20.7,2.52,123,6.08,5.68,183.0764894
2359.75,96.85907421,20.9,2.526,121,6,5.62,183.6986006
2359.875,97.40180715,21.6,2.51,121,5.87,5.53,184.3149884
2360,97.94119206,22.6,2.484,122,5.76,5.46,184.8132883
2360.125,98.44488681,23.4,2.462,124,5.76,5.47,185.3333191
2360.25,98.6237021,23.3,2.456,126,5.85,5.56,185.971013
2360.375,98.37421293,22.6,2.463,128,5.95,5.65,186.7440366
2360.5,98.15021358,21.8,2.471,130,5.97,5.67,187.5289776
2360.625,98.33355787,21.7,2.469,132,5.9,5.61,188.236778
2360.75,98.50084567,22.3,2.455,136,5.74,5.49,188.6767264
2360.875,98.64372657,23.2,2.436,138,5.53,5.33,188.7357335
2361,98.84320951,23.4,2.424,137,5.35,5.17,188.3691764
2361.125,99.05437887,22.7,2.426,134,5.28,5.09,187.5856987
2361.25,97.95808622,21.8,2.442,132,5.37,5.16,186.3429165
2361.375,97.05355262,21.4,2.464,130,5.55,5.33,184.592232
2361.5,96.33679974,21.3,2.484,128,5.72,5.52,182.4535523
2361.625,95.68929626,21,2.495,127,5.77,5.63,180.0742028
2361.75,94.90328248,20.4,2.496,127,5.73,5.65,177.6914206
2361.875,93.69138038,19.8,2.494,128,5.67,5.62,175.6414797
2362,93.0418561,19.3,2.498,130,5.66,5.6,174.1161352
2362.125,92.53779199,18.9,2.512,130,5.69,5.61,173.1085879
2362.25,92.19868996,18.8,2.534,129,5.7,5.62,172.5906768
2362.375,91.83077067,19.1,2.548,128,5.67,5.61,172.2629411
2362.5,91.1940666,19.4,2.544,128,5.58,5.58,171.8040583
2362.625,90.35589403,19.5,2.523,128,5.5,5.54,171.4763024
2362.75,90.37064685,19.4,2.501,128,5.46,5.51,171.4289959
2362.875,90.59801201,19.3,2.484,126,5.46,5.5,171.8838407
2363,90.99663944,19,2.476,125,5.49,5.52,173.0346439
2363.125,91.57544311,18.9,2.48,127,5.52,5.56,174.9732852
2363.25,92.31059731,19.3,2.498,131,5.5,5.58,177.6599749
