DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2601.0,61.9940166,6.9,2.617,94,19.08,19.14,118.0012051,0.8003507324221976
2601.125,62.62976135,6.7,2.61,92,18.42,18.65,117.6631146,0.8003507324221976
2601.25,64.41092795,6.9,2.602,94,16.43,16.79,118.0614419,0.8003507324221976
2601.375,66.54743045,7.4,2.595,99,13.72,14.14,119.0689462,0.8003507324221976
2601.5,68.55714783,8.1,2.592,107,11.23,11.69,120.6253234,0.8003507324221976
2601.625,70.12678189,9.0,2.591,118,9.43,9.89,122.6470236,0.8003507324221976
2601.75,71.15630945,9.8,2.593,127,8.43,8.88,125.0161181,0.8003507324221976
2601.875,71.61473301,10.4,2.592,133,7.96,8.41,127.5438035,0.8003507324221976
2602.0,72.23766102,10.7,2.59,135,7.82,8.29,130.2014006,0.8003507324221976
2602.125,72.69150741,10.8,2.587,136,7.84,8.32,132.8707945,0.8003507324221976
2602.25,72.9249853,10.9,2.588,136,7.78,8.27,135.4237262,0.8003507324221976
2602.375,73.18012224,11.1,2.594,136,7.53,8.04,137.7348457,0.8003507324221976
2602.5,74.1783998,11.5,2.601,137,7.12,7.66,139.638389,0.8003507324221976
2602.625,74.97213635,12.1,2.608,137,6.71,7.26,141.0332262,0.8003507324221976
2602.75,75.52572087,12.7,2.613,136,6.42,6.96,141.9561705,0.8003507324221976
2602.875,75.75556634,12.9,2.616,135,6.24,6.77,142.3920257,0.8003507324221976
2603.0,75.60452362,12.9,2.615,136,6.17,6.68,142.3440785,0.8003507324221976
2603.125,75.07062205,12.8,2.613,137,6.22,6.72,141.8425569,0.8003507324221976
2603.25,74.47646194,12.6,2.61,137,6.41,6.91,140.9615694,0.8003507324221976
2603.375,74.05312566,12.3,2.611,136,6.68,7.21,139.9112446,0.8003507324221976
2603.5,73.63240591,12.1,2.614,135,6.93,7.47,138.7765463,0.8003507324221976
2603.625,73.14006181,11.9,2.617,134,7.11,7.65,137.6299137,0.8003507324221976
2603.75,72.50213635,11.8,2.62,133,7.3,7.8,136.5052339,0.8003507324221976
2603.875,71.37434764,11.6,2.62,134,7.58,8.05,135.3099419,0.8003507324221976
2604.0,70.65694272,11.3,2.62,133,7.97,8.41,134.1303448,0.8003507324221976
2604.125,71.07179245,10.7,2.62,131,8.4,8.83,133.1046739,0.8003507324221976
2604.25,71.53121063,10.0,2.62,128,8.74,9.16,132.3788506,0.8003507324221976
2604.375,71.59175735,9.8,2.622,128,8.8,9.22,132.1207031,0.8003507324221976
